Dataset,Row Index,fit_time_mean,fit_time_std_dev,f1_macro_mean,f1_macro_std_dev,f1_weighted_mean,f1_weighted_std_dev,vectorizer,ngram_range,preprocessor,max_df,learning_rate,n_estimators,rsm,depth,classifier,colsample_bytree,max_depth
d1,11,77.10689147313435,1.6254784117838257,0.6992901688646173,0.005361868814546306,0.80573432535019,0.004547746129934875,CountVectorizer,"[1, 1]",SnowBallStemmer,0.9,0.001,1000,1.0,10.0,CatBoost,,
d1,12,8.418047626813253,1.5155060537023937,0.724270826577064,0.004741030115310937,0.8277219289064045,0.0038452563869074926,CountVectorizer,"[1, 1]",SnowBallStemmer,0.9,0.1,1000,0.75,6.0,CatBoost,,
d1,13,14.239410003026327,1.0280432195165485,0.7244585738085588,0.0035669740792073266,0.828444686718019,0.003034574821267519,CountVectorizer,"[1, 1]",SnowBallStemmer,0.9,0.1,1000,0.75,10.0,CatBoost,,
d1,14,8.535806973775228,1.0936292061248594,0.7226565553188821,0.0039000842280957544,0.8265030214396822,0.003508197952004536,CountVectorizer,"[1, 1]",SnowBallStemmer,0.9,0.1,1000,1.0,6.0,CatBoost,,
d1,15,14.800995628039042,1.5883401986585004,0.7263351087403892,0.004723814587874229,0.829885716391466,0.003966816907594258,CountVectorizer,"[1, 1]",SnowBallStemmer,0.9,0.1,1000,1.0,10.0,CatBoost,,
d1,16,50.79780705769857,1.2349830353056728,0.660093180004514,0.00630742178976836,0.774626611375394,0.00536478311992126,CountVectorizer,"[1, 1]",,0.5,0.001,1000,0.75,6.0,CatBoost,,
d1,17,92.32040846347809,1.3044293064683161,0.6887668059161296,0.004082762098336441,0.7971423102156024,0.0037642255180638296,CountVectorizer,"[1, 1]",,0.5,0.001,1000,0.75,10.0,CatBoost,,
d1,18,50.694013357162476,0.962505151813544,0.6591132229132075,0.005502371586762245,0.7738030593960262,0.004759060777417583,CountVectorizer,"[1, 1]",,0.5,0.001,1000,1.0,6.0,CatBoost,,
d1,19,90.98667625586192,0.31680192010531233,0.688202230678994,0.003928922454636152,0.7966061187484517,0.0036875699102877934,CountVectorizer,"[1, 1]",,0.5,0.001,1000,1.0,10.0,CatBoost,,
d1,20,14.14007318019867,2.7300444641888975,0.725285696585011,0.004617804751944827,0.8277992433812705,0.003893795867469813,CountVectorizer,"[1, 1]",,0.5,0.1,1000,0.75,6.0,CatBoost,,
d1,21,17.93074079354604,2.145472818747634,0.7264063528154514,0.005233240646567952,0.8292718185260052,0.004301443014981039,CountVectorizer,"[1, 1]",,0.5,0.1,1000,0.75,10.0,CatBoost,,
d1,22,12.167560617129007,0.6894342071744307,0.7240507252505184,0.005005051060232425,0.8266498855972501,0.004196192707638551,CountVectorizer,"[1, 1]",,0.5,0.1,1000,1.0,6.0,CatBoost,,
d1,23,17.420497337977093,3.5758655965030255,0.7259579530956044,0.004683101175607489,0.8287977093170028,0.00394549223835903,CountVectorizer,"[1, 1]",,0.5,0.1,1000,1.0,10.0,CatBoost,,
d1,24,51.22993163267771,1.257059727185253,0.660093180004514,0.00630742178976836,0.774626611375394,0.00536478311992126,CountVectorizer,"[1, 1]",,0.9,0.001,1000,0.75,6.0,CatBoost,,
d1,25,90.78522578875224,0.1646493412233905,0.6887668059161296,0.004082762098336441,0.7971423102156024,0.0037642255180638296,CountVectorizer,"[1, 1]",,0.9,0.001,1000,0.75,10.0,CatBoost,,
d1,26,50.268625577290855,0.5110843072951367,0.6591132229132075,0.005502371586762245,0.7738030593960262,0.004759060777417583,CountVectorizer,"[1, 1]",,0.9,0.001,1000,1.0,6.0,CatBoost,,
d1,27,91.57244702180226,0.44951245730161393,0.688202230678994,0.003928922454636152,0.7966061187484517,0.0036875699102877934,CountVectorizer,"[1, 1]",,0.9,0.001,1000,1.0,10.0,CatBoost,,
d1,28,14.098800500233969,2.9087024776395656,0.725285696585011,0.004617804751944827,0.8277992433812705,0.003893795867469813,CountVectorizer,"[1, 1]",,0.9,0.1,1000,0.75,6.0,CatBoost,,
d1,29,18.098105430603027,2.199907254039766,0.7264063528154514,0.005233240646567952,0.8292718185260052,0.004301443014981039,CountVectorizer,"[1, 1]",,0.9,0.1,1000,0.75,10.0,CatBoost,,
d1,30,12.137058138847351,0.8241654699781477,0.7240507252505184,0.005005051060232425,0.8266498855972501,0.004196192707638551,CountVectorizer,"[1, 1]",,0.9,0.1,1000,1.0,6.0,CatBoost,,
